latitude,longitude,area_in_meters,confidence,full_plus_code,Country,Province,State,County,Municipality,City,Suburb,Type,AddressType,Amenity,OSM_Type,OSM_ID,Building_material,Roof_materials,Surface,geometry,height_net,height_gross,vol_2025,vol_2030,pop_2025,pop_2030
-25.76365367,28.15942649,2073.6084,0.9538,5G6C65P5+GQMW,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,Pretoria,Pretoria-West,hospital,amenity,,way,433801474.0,,,,POINT (28.15942649 -25.76365367),6.319573879241943,2.48730206489563,26574.0,26574.0,37.56873321533203,35.74293518066406
-26.11340233,28.13880777,965.3942,0.9683,5G5CV4PQ+JGMX,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,City of Johannesburg Metropolitan Municipality,Johannesburg,Johannesburg Ward 32,commercial,building,,way,619269168.0,,,,POINT (28.13880777 -26.11340233),9.329538345336914,4.840052604675293,48402.0,48402.0,0.2917441427707672,0.32424798607826233
-30.51965982,27.37655995,449.1599,0.956,4GX9F9JG+4JMQ,South Africa,,Eastern Cape,Joe Gqabi District Municipality,,Senqu Local Municipality,Senqu Ward 10,residential,road,,way,831117879.0,,,,POINT (27.37655995 -30.51965982),7.407341480255127,1.60988187789917,16074.0,16074.0,5.417580604553223,5.392600059509277
-26.02557372,27.94799231,1643.2377,0.9634,5G59XWFX+Q5H5,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Randburg,Johannesburg Ward 96,unclassified,road,,way,4959741.0,,,asphalt,POINT (27.94799231 -26.02557372),10.311256408691406,3.65743350982666,36553.0,36553.0,0.0,0.0
-25.7544231,28.2284973,1157.1573,0.9552,5G6C66WH+69Q5,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,Pretoria,Hillcrest,university,amenity,,way,435685448.0,,,,POINT (28.2284973 -25.7544231),11.589160919189453,9.323248863220215,93200.0,93200.0,10.665600776672363,10.53514289855957
-26.19726209,28.307353,1159.4257,0.9539,5G5CR834+3WXF,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Kleinfontein Lake,primary,road,,way,25849799.0,,,asphalt,POINT (28.307353 -26.19726209),7.95527458190918,3.474299192428589,34757.0,34757.0,146.41590881347656,157.11924743652344
-29.09517985,26.18190752,561.5363,0.9523,5G28W53J+WQFR,South Africa,,Free State,Mangaung Metropolitan Municipality,,Bloemfontein,Tempe,residential,road,,way,138299754.0,,,asphalt,POINT (26.18190752 -29.09517985),5.628032207489014,2.2920498847961426,22923.0,22923.0,6.439572334289551,6.327710151672363
-26.16819852,27.958433,1328.9011,0.9501,5G59RXJ5+P9F5,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,City of Johannesburg Metropolitan Municipality,Johannesburg,Whiteridge,residential,road,,way,616993429.0,,,asphalt,POINT (27.958433 -26.16819852),9.769057273864746,3.8255043029785156,38226.0,38226.0,55.704166412353516,60.06220626831055
-33.02433239,27.89396741,627.3582,0.9559,4GR9XVGV+7H8Q,South Africa,,Eastern Cape,Buffalo City Metropolitan Municipality,,East London,West Bank,tertiary,road,,way,62343832.0,,,asphalt,POINT (27.89396741 -33.02433239),3.9485678672790527,1.1007541418075562,12485.0,12485.0,1.6855108737945557,1.7105227708816528
-26.24186159,26.9855677,505.8563,0.9569,5G58QX5P+764C,South Africa,,North West,Dr Kenneth Kaunda District Municipality,,Ventersdorp Local Municipality,Ventersdorp Ward 5,administrative,suburb,,relation,3668423.0,,,,POINT (26.9855677 -26.24186159),2.5,0.28356999158859253,4268.0,4268.0,6.6898603439331055,6.307023525238037
-26.06827244,28.23138693,1626.669,0.9545,5G5CW6JJ+MHR3,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Houtkapper Park,parking,amenity,,way,150368679.0,,,,POINT (28.23138693 -26.06827244),8.631213188171387,3.5935192108154297,35914.0,35914.0,63.41536331176758,68.05117797851562
-31.74629574,27.79464566,519.5035,0.9522,4GW97Q3V+FVJ4,South Africa,,Eastern Cape,Chris Hani District Municipality,,Intsika Yethu Local Municipality,KwaTshatshu,residential,road,,way,1018229029.0,,,unpaved,POINT (27.79464566 -31.74629574),2.5536177158355713,0.2631298899650574,2674.0,2674.0,3.8886497020721436,3.803938627243042
-26.88350607,26.63092751,656.6729,0.962,5G584J8J+H9VP,South Africa,,North West,Dr Kenneth Kaunda District Municipality,,Klerksdorp,Uraniaville,unclassified,road,,way,147355846.0,,,paved,POINT (26.63092751 -26.88350607),7.840889930725098,3.7415237426757812,37401.0,37401.0,0.1182781234383583,0.12388776242733002
-26.30192162,28.26986541,561.8532,0.9641,5G5CM7X9+6WQ4,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ekurhuleni Ward 99,secondary,road,,way,32255830.0,,,asphalt,POINT (28.26986541 -26.30192162),2.5,0.28149500489234924,2863.0,2863.0,0.0,0.0
